,text
42,Nike Air Max 97 'Game Royal / Pink Glaze' is available now for only $97.49 with FREE SHIPPING (39% OFF) #promotion use code SUN25 at checkout =&gt; http://bit.ly/2Pfa4VW =&gt; http://bit.ly/2Pfa4VW
43,"PRICE DROP: 40% OFF + free shipping on the Nike Air Max 97 ""Gold Medal” Trophy BUY HERE: https://bit.ly/2C5zoup"
44,The Nike Air Max 97 ‘Gold Medal’ are available now for just $104.98 with Free Shipping 
45,#ad The Nike Women's Air Max 97 SE 'Black/University Red' is now available via @FinishLine for $135! (use code 10HEAT100 - retail $180) #SneakerScouts @Nike https://www.finishline.com/store/product/women's+nike+air+max+97+se+casual+shoes/prod2794978?styleId=CU9990&amp;colorId=001&amp;ranMID=37731&amp;ranEAID=zAJE4hSbGa4&amp;ranSiteID=zAJE4hSbGa4-_w56d3MSBjf4K7Kvv7qNJw&amp;CMP=AFL-LS-affiliatechannel&amp;sourceid=affiliate&amp;utm_source=3516449&amp;utm_medium=affiliate&amp;utm_campaign=1&amp;siteID=zAJE4hSbGa4-_w56d3MSBjf4K7Kvv7qNJw
46,Buy #Nike Air Max 97 G NRG #Golf- Tie Dye Size M 10.5 / W 12 CK1219-100 FREE SHIPPING AUTHENTIC http://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=4&amp;pub=5575607027&amp;toolid=10001&amp;campid=5338718122&amp;customid=Nike+Air+max+97+G+NRG+-Golf-+Tie+Dye+Size+M+10.5+%2F+W+12+CK1219-100+FREE+SHIPPING&amp;mpre=https%3A%2F%2Fwww.ebay.com%2Fitm%2F164320251642 only on #Ebay #BuyItNow for: $295 #ebayforbusiness #ebayROCteam #ebayseller #ebaydeals #ebayfinds #AirMax97 #AirMax97NRG #AirMax97TieDie #Sneakers #AD
47,Nike Air Max 97 ‘Gold Medal’ $104.98 Free Shipping 
48,STEAL💥 Nike Air Max 97 'Gold Medal' $104.98 Free Shipping https://bit.ly/31yVXk6 *use code NSGM30 at checkout*
49,#ad The Nike Air Max 97 'One of One' is now available via @FinishLine for $165! (use code 15DRIP150 - retail $180) #SneakerScouts @Nike https://www.finishline.com/store/product/mens-nike-air-max-97-diy-flare-casual-shoes/prod2797522?styleId=CW5567&amp;colorId=100&amp;ranMID=37731&amp;ranEAID=zAJE4hSbGa4&amp;ranSiteID=zAJE4hSbGa4-ntCfV6vZqkZjUB74EVgbFA&amp;CMP=AFL-LS-affiliatechannel&amp;sourceid=affiliate&amp;utm_source=3516449&amp;utm_medium=affiliate&amp;utm_campaign=1&amp;siteID=zAJE4hSbGa4-ntCfV6vZqkZjUB74EVgbFAv
50,''UNBOXING'' NIKE AIR MAX 97 SERENA WILLIAMS x OFF WHITE VIRGIL ABLOH : THE TEN COLLECTION 
51,LOWEST PRICE YET 🚨 Nike Air Max 97 'Gold Medal' is available now for only $104.98 with FREE SHIPPING (42% OFF) #promotion use code NSGM30 at checkout =&gt; http://bit.ly/2PnNKcX =&gt; http://bit.ly/2PnNKcX
52,"#ad Nike Air Max 97 'Gold Medal' on sale for $104.98 + FREE shipping, use code NSGM30 https://bit.ly/2PCy0Tl"
53,"Ad: NEW LOW PRICE: Nike Air Max 97 'Gold Medal' on sale for $104.98 + FREE shipping, use code NSGM30 =&gt; http://bit.ly/2DkNpoS"
54,"🥇 Sizes under 12 for the ""Gold Medal"" Nike Air Max 97 QS are now $104.98 + FREE shipping. Over 40% OFF! BUY HERE -&gt; https://bit.ly/2PDMnad (promotion - use code NSGM30 at checkout)"
55,I just added this listing on Poshmark: Nike Air Max 97. https://posh.mk/as6WglNmO8 via @poshmarkapp #shopmycloset
56,Nike Air max 97 Off White Menta size 9 frro 
57,#ad The Nike Air Max 97 'USA' is now available via @FinishLine for $155! (use code 15DRIP150 - retail $170) #SneakerScouts @Nike https://www.finishline.com/store/product/mens-nike-air-max-97-casual-shoes/prod2770629?styleId=CW5584&amp;colorId=100&amp;ranMID=37731&amp;ranEAID=zAJE4hSbGa4&amp;ranSiteID=zAJE4hSbGa4-b8EHazx6vabdBnYx95qE9w&amp;CMP=AFL-LS-affiliatechannel&amp;sourceid=affiliate&amp;utm_source=3516449&amp;utm_medium=affiliate&amp;utm_campaign=1&amp;siteID=zAJE4hSbGa4-b8EHazx6vabdBnYx95qE9w
58,"Ad: Nike Air Max 270 'White/Active Fuchsia' on sale for $97.50 + FREE shipping, use code KLARNA =&gt; https://bit.ly/3kuh3si"
59,Nike air max 97 sean wotherspoon #max97seanwotherspoon #seanwotherspoon #airmax97 #ufoshoes01#Highsnobiety#Sneakerwatch #Solecollector #Nicekicks #Kicks #Sneakers#Sneakerhead#Snkrhd #Sneakerfiles #Sneakernews… https://www.instagram.com/p/CDp6IIzJTAu/?igshid=vppwl6h6pt62
60,Check out what I just added to my closet on Poshmark: New Nike Air Max 97 Bright Citron (mustard color). https://poshmark.com/listing/5ec33c1c074d249e255474da?utm_campaign=referral_code%3DRUTHACORSCLOSET&amp;utm_source=tw_sh&amp;utm_content=feature%3Dsh_li_el_ios%26rfuid%3Dext1%3A8cba8e62-b5b4-4aa9-843a-79409a2dd604%26ext_trk%3Dbranch via @poshmarkapp #shopmycloset
61,#ad The Nike Air Max 97 'Challenge Red' is now available via @footlocker for $144.50! (use code PARAUG15 - retail $170) #SneakerScouts @Nike https://www.footlocker.com/product/nike-air-max-97-mens/I3708600.html?irclickid=Up424LTvOxyOWkA0MdV3iVCmUkiW87SlQxOkxU0&amp;sid=8259&amp;cm_mmc=Affiliate-_-SneakerScouts-_--_-Content-_--_--_-p-_--_--_--_--_--_-ONLINE_TRACKING_LINK-_--_-Online%20Tracking%20Link-_--_-&amp;irgwc=1
62,"40% OFF savings are available for the ""Safari Camo"" Nike Air Max Triax 96 SP at $89.97 + FREE shipping with your Nike+ account. #promotion BUY HERE -&gt; http://bit.ly/3a5p0i3"
