,text
61,7月4日(木) GO ON SALE 【ZOOM X VAPOR FLY NEXT%】 【ZOOM FLY 3】 【ZOOM PEGASUS TURBO 2】 #nike #NIKE #ナイキ #vaporflynext #zoomfly #pegasusturbo #厚さは速さだ #厚底シューズ #陸上競技 #長距離の人RT #マラソン #marathon #running #サブ2 #SUB2 #サブ3 #SUB3 #ステップスポーツ町田店
62,One of the top 3 shoes I have ever owned. Nike Zoom Pegasus Turbo 2. Things are CRAZY 
63,Started testing @nike Zoom Pegasus Turbo 2 “Phantom Glow”. Thanks to @nikerunning for sending them. Full review coming for the official launch in 2 weeks but NikePlus members can get them early on the Nike app through end of day. . . #weartesters
64,"Hit the streets, trail, or track fully charged 🔋 in the Women's @Nike Zoom Pegasus Turbo 2 'Luminous Green' launching 7/4. #Hibbett Learn More | http://bit.ly/2xvDdU9"
65,"Ad: ICYMI: The Nike Zoom Pegasus Turbo 2 ""Electric Green"" is dropped today at Nikestore! Log into your Nike+ account for access. Mens http://bit.ly/2ZSxZ0A Womens http://bit.ly/2ZQTcrL"
66,The Nike Zoom Pegasus Turbo 2 is beautiful... 
67,Grab the Nike Zoom Pegasus Turbo 2 ‘Lab Green’ now on Nike US (must login) Mens:http://bit.ly/2XaSap2 Wmns:http://bit.ly/31Z8We4
68,Adds to cart* Nike Zoom Pegasus Turbo 2 https://nike.app.link/0ktpbRUARX
69,NEW: WMNS Nike Zoom Pegasus Turbo 2 ‘Lab Green’ dropped via @nikestore https://bit.ly/2X5aIHd #AD
70,AD: Available Now for Early Member Access Nike Zoom Pegasus Turbo 2 https://bit.ly/31XUqmU #heskicks
71,"Ad: Nike Zoom Pegasus Turbo 2 ""Electric Green"" is now available at Nikestore! Log into your Nike+ account for access. Mens http://bit.ly/2ZV82h3 Womens http://bit.ly/2FCFukH"
72,RT J23app: NEW Nike Zoom Pegasus Turbo 2 “Electric Green” on nikestore via Member Access Link -&gt; https://go.j23app.com/cho
73,NEW: Nike Zoom Pegasus Turbo 2 ‘Electric Green’ dropped via @nikestore https://bit.ly/2JfRp8W #AD
74,NEW Nike Zoom Pegasus Turbo 2 “Electric Green” on @nikestore via Member Access Link -&gt; https://go.j23app.com/cho
75,Ad: Member Access: Nike Zoom Pegasus Turbo 2 'Electric Green' Mens:http://bit.ly/2IPWi9Y Womens:http://bit.ly/2YgbPFi
